# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.51e+00    1.52e+00      4.39e-01    4.39e-01      3.60e-02    3.66e-02    1.0e-03
    100      5.07e-01    5.06e-01      1.09e-03    9.55e-04      1.60e-02    1.60e-02    1.0e-03
    200      4.94e-01    5.01e-01      8.10e-03    8.43e-03      1.56e-02    1.58e-02    1.0e-03
    300      4.80e-01    4.80e-01      3.81e-04    4.71e-04      1.52e-02    1.52e-02    1.0e-03
    400      4.78e-01    4.64e-01      3.03e-03    2.61e-03      1.51e-02    1.47e-02    1.0e-03
    500      4.36e-01    4.39e-01      2.25e-03    2.46e-03      1.38e-02    1.39e-02    1.0e-03
    600      4.31e-01    4.24e-01      8.14e-04    4.44e-04      1.36e-02    1.34e-02    1.0e-03
    700      3.85e-01    3.92e-01      1.20e-02    1.21e-02      1.21e-02    1.24e-02    1.0e-03
    800      3.67e-01    3.65e-01      5.58e-03    5.82e-03      1.16e-02    1.15e-02    1.0e-03
    900      3.56e-01    3.60e-01      2.39e-03    2.24e-03      1.13e-02    1.14e-02    1.0e-03
   1000      3.52e-01    3.52e-01      2.25e-03    1.90e-03      1.11e-02    1.11e-02    1.0e-03
   1100      3.38e-01    3.42e-01      4.82e-03    4.78e-03      1.07e-02    1.08e-02    1.0e-03
   1200      3.48e-01    3.51e-01      6.44e-03    6.36e-03      1.10e-02    1.11e-02    1.0e-03
   1300      3.31e-01    3.34e-01      1.33e-02    1.35e-02      1.04e-02    1.05e-02    1.0e-03
   1400      3.35e-01    3.30e-01      8.43e-03    8.78e-03      1.06e-02    1.04e-02    1.0e-03
   1500      3.30e-01    3.20e-01      1.38e-03    6.78e-04      1.04e-02    1.01e-02    1.0e-03
   1600      3.22e-01    3.15e-01      4.31e-03    3.80e-03      1.02e-02    9.96e-03    1.0e-03
   1700      3.16e-01    3.15e-01      1.24e-03    1.43e-03      9.98e-03    9.95e-03    1.0e-03
   1800      3.28e-01    3.32e-01      1.80e-02    1.77e-02      1.03e-02    1.04e-02    1.0e-03
   1900      3.16e-01    3.22e-01      4.37e-03    4.56e-03      1.00e-02    1.02e-02    1.0e-03
   2000      3.14e-01    3.08e-01      1.20e-02    1.20e-02      9.88e-03    9.69e-03    1.0e-03
   2100      3.08e-01    2.95e-01      2.49e-02    2.41e-02      9.59e-03    9.19e-03    1.0e-03
   2200      4.25e-01    4.11e-01      1.30e-03    4.21e-04      1.34e-02    1.30e-02    1.0e-03
   2300      3.90e-01    3.77e-01      2.91e-03    2.31e-03      1.23e-02    1.19e-02    1.0e-03
   2400      3.36e-01    3.44e-01      4.12e-03    4.19e-03      1.06e-02    1.09e-02    1.0e-03
   2500      3.16e-01    3.21e-01      8.00e-04    8.11e-04      9.98e-03    1.02e-02    1.0e-03
   2600      3.06e-01    3.16e-01      7.72e-04    7.14e-04      9.66e-03    1.00e-02    1.0e-03
   2700      3.14e-01    3.14e-01      1.16e-03    2.13e-03      9.92e-03    9.93e-03    1.0e-03
   2800      3.08e-01    3.05e-01      1.14e-03    6.95e-04      9.73e-03    9.63e-03    1.0e-03
   2900      3.10e-01    3.05e-01      5.19e-03    5.45e-03      9.79e-03    9.64e-03    1.0e-03
   3000      2.99e-01    3.05e-01      4.88e-03    4.40e-03      9.46e-03    9.63e-03    1.0e-03
   3100      2.95e-01    3.12e-01      2.96e-03    2.77e-03      9.33e-03    9.85e-03    1.0e-03
   3200      3.02e-01    2.95e-01      4.44e-03    4.86e-03      9.56e-03    9.31e-03    1.0e-03
   3300      2.97e-01    2.82e-01      1.28e-03    1.40e-03      9.39e-03    8.92e-03    1.0e-03
   3400      2.88e-01    2.89e-01      2.02e-03    2.22e-03      9.12e-03    9.15e-03    1.0e-03
   3500      2.86e-01    2.86e-01      3.67e-03    3.98e-03      9.03e-03    9.04e-03    1.0e-03
   3600      2.93e-01    2.90e-01      2.35e-03    2.13e-03      9.25e-03    9.16e-03    1.0e-03
   3700      2.84e-01    2.85e-01      3.35e-03    3.62e-03      8.97e-03    8.99e-03    1.0e-03
   3800      2.85e-01    2.86e-01      1.61e-03    1.64e-03      9.02e-03    9.06e-03    1.0e-03
   3900      2.93e-01    2.93e-01      1.63e-03    9.81e-04      9.25e-03    9.26e-03    1.0e-03
   4000      2.76e-01    2.78e-01      3.18e-03    3.38e-03      8.73e-03    8.79e-03    1.0e-03
   4100      2.81e-01    2.79e-01      3.84e-03    3.94e-03      8.87e-03    8.83e-03    1.0e-03
   4200      2.83e-01    2.88e-01      4.74e-03    4.17e-03      8.94e-03    9.09e-03    1.0e-03
   4300      2.81e-01    2.70e-01      2.49e-03    2.07e-03      8.87e-03    8.52e-03    1.0e-03
   4400      2.74e-01    2.83e-01      3.86e-03    3.39e-03      8.66e-03    8.94e-03    1.0e-03
   4500      2.84e-01    2.78e-01      1.16e-03    1.28e-03      8.97e-03    8.79e-03    1.0e-03
   4600      2.77e-01    2.73e-01      1.96e-03    1.50e-03      8.76e-03    8.63e-03    1.0e-03
   4700      2.71e-01    2.68e-01      3.09e-03    3.44e-03      8.57e-03    8.48e-03    1.0e-03
   4800      2.66e-01    2.64e-01      2.54e-03    2.48e-03      8.42e-03    8.35e-03    1.0e-03
   4900      2.75e-01    2.70e-01      1.79e-03    1.93e-03      8.69e-03    8.53e-03    1.0e-03
   5000      1.64e-01    1.69e-01      3.00e-03    3.56e-03      8.43e-03    8.57e-03    3.6e-04
   5100      1.69e-01    1.72e-01      1.65e-03    1.39e-03      8.83e-03    9.05e-03    3.6e-04
   5200      1.60e-01    1.68e-01      7.02e-04    1.40e-03      8.44e-03    8.83e-03    3.6e-04
   5300      1.59e-01    1.61e-01      6.34e-04    6.18e-04      8.39e-03    8.48e-03    3.6e-04
   5400      1.56e-01    1.59e-01      1.13e-03    7.42e-04      8.21e-03    8.39e-03    3.6e-04
   5500      1.62e-01    1.61e-01      1.37e-03    8.58e-04      8.52e-03    8.47e-03    3.6e-04
   5600      1.60e-01    1.58e-01      3.14e-04    6.26e-04      8.46e-03    8.31e-03    3.6e-04
   5700      1.53e-01    1.62e-01      9.83e-04    1.03e-03      8.06e-03    8.52e-03    3.6e-04
   5800      1.60e-01    1.60e-01      9.97e-04    8.61e-04      8.44e-03    8.40e-03    3.6e-04
   5900      1.58e-01    1.53e-01      7.42e-04    7.27e-04      8.32e-03    8.06e-03    3.6e-04
   6000      1.57e-01    1.58e-01      9.15e-04    9.02e-04      8.28e-03    8.31e-03    3.6e-04
   6100      1.58e-01    1.62e-01      9.78e-04    1.05e-03      8.30e-03    8.50e-03    3.6e-04
   6200      1.57e-01    1.59e-01      9.11e-04    6.00e-04      8.28e-03    8.38e-03    3.6e-04
   6300      1.54e-01    1.57e-01      5.11e-04    6.05e-04      8.13e-03    8.27e-03    3.6e-04
   6400      1.59e-01    1.62e-01      9.80e-04    6.00e-04      8.37e-03    8.54e-03    3.6e-04
   6500      1.59e-01    1.60e-01      1.20e-03    6.28e-04      8.35e-03    8.41e-03    3.6e-04
   6600      1.62e-01    1.56e-01      1.09e-03    9.03e-04      8.53e-03    8.24e-03    3.6e-04
   6700      1.58e-01    1.58e-01      1.06e-03    1.01e-03      8.32e-03    8.33e-03    3.6e-04
   6800      1.59e-01    1.58e-01      1.45e-03    1.51e-03      8.32e-03    8.25e-03    3.6e-04
   6900      1.63e-01    1.57e-01      1.58e-03    7.24e-04      8.54e-03    8.27e-03    3.6e-04
   7000      1.66e-01    1.62e-01      2.56e-03    2.32e-03      8.57e-03    8.41e-03    3.6e-04
   7100      1.58e-01    1.61e-01      1.38e-03    1.17e-03      8.30e-03    8.45e-03    3.6e-04
   7200      1.55e-01    1.53e-01      9.67e-04    9.61e-04      8.13e-03    8.06e-03    3.6e-04
   7300      1.57e-01    1.60e-01      7.49e-04    8.65e-04      8.26e-03    8.45e-03    3.6e-04
   7400      1.57e-01    1.53e-01      1.13e-03    1.51e-03      8.24e-03    8.00e-03    3.6e-04
   7500      1.63e-01    1.68e-01      3.26e-03    3.21e-03      8.32e-03    8.57e-03    3.6e-04
   7600      1.52e-01    1.57e-01      5.13e-04    5.95e-04      8.01e-03    8.26e-03    3.6e-04
   7700      1.56e-01    1.51e-01      4.92e-04    4.96e-04      8.22e-03    7.94e-03    3.6e-04
   7800      1.59e-01    1.58e-01      2.27e-03    2.19e-03      8.25e-03    8.20e-03    3.6e-04
   7900      1.56e-01    1.62e-01      1.20e-03    1.24e-03      8.17e-03    8.49e-03    3.6e-04
   8000      1.57e-01    1.60e-01      9.79e-04    9.64e-04      8.27e-03    8.42e-03    3.6e-04
   8100      1.73e-01    1.80e-01      6.04e-03    5.90e-03      8.19e-03    8.60e-03    3.6e-04
   8200      3.20e-01    3.26e-01      3.29e-03    4.59e-03      1.68e-02    1.69e-02    3.6e-04
   8300      2.79e-01    2.77e-01      1.63e-03    1.09e-03      1.47e-02    1.46e-02    3.6e-04
   8400      2.59e-01    2.56e-01      1.89e-03    1.25e-03      1.36e-02    1.35e-02    3.6e-04
   8500      2.40e-01    2.47e-01      8.26e-04    1.16e-03      1.26e-02    1.30e-02    3.6e-04
   8600      2.33e-01    2.43e-01      8.87e-04    6.55e-04      1.23e-02    1.28e-02    3.6e-04
   8700      2.34e-01    2.29e-01      1.14e-03    8.47e-04      1.23e-02    1.20e-02    3.6e-04
   8800      2.26e-01    2.28e-01      1.03e-03    8.91e-04      1.19e-02    1.20e-02    3.6e-04
   8900      2.24e-01    2.22e-01      1.19e-03    7.64e-04      1.18e-02    1.17e-02    3.6e-04
   9000      2.19e-01    2.19e-01      6.48e-04    6.98e-04      1.16e-02    1.15e-02    3.6e-04
   9100      2.12e-01    2.22e-01      5.70e-04    1.04e-03      1.12e-02    1.17e-02    3.6e-04
   9200      2.16e-01    2.09e-01      1.00e-03    5.21e-04      1.14e-02    1.10e-02    3.6e-04
   9300      2.14e-01    2.06e-01      8.14e-04    4.43e-04      1.13e-02    1.08e-02    3.6e-04
   9400      2.08e-01    2.05e-01      6.39e-04    4.82e-04      1.09e-02    1.08e-02    3.6e-04
   9500      2.06e-01    1.99e-01      5.19e-04    9.11e-04      1.09e-02    1.05e-02    3.6e-04
   9600      2.05e-01    2.04e-01      1.35e-03    8.12e-04      1.08e-02    1.07e-02    3.6e-04
   9700      2.00e-01    2.00e-01      4.71e-04    6.38e-04      1.05e-02    1.06e-02    3.6e-04
   9800      1.96e-01    1.99e-01      7.86e-04    1.02e-03      1.03e-02    1.05e-02    3.6e-04
   9900      1.93e-01    1.96e-01      4.06e-04    7.88e-04      1.02e-02    1.03e-02    3.6e-04
  10000      1.18e-01    1.18e-01      9.24e-04    1.03e-03      1.03e-02    1.03e-02    1.3e-04
  10100      1.12e-01    1.16e-01      7.73e-04    5.94e-04      9.76e-03    1.02e-02    1.3e-04
  10200      1.15e-01    1.16e-01      4.03e-04    8.13e-04      1.01e-02    1.02e-02    1.3e-04
  10300      1.14e-01    1.17e-01      6.02e-04    4.76e-04      9.96e-03    1.03e-02    1.3e-04
  10400      1.12e-01    1.14e-01      3.69e-04    3.97e-04      9.79e-03    1.00e-02    1.3e-04
  10500      1.18e-01    1.16e-01      7.45e-04    6.66e-04      1.03e-02    1.01e-02    1.3e-04
  10600      1.16e-01    1.17e-01      6.32e-04    1.03e-03      1.01e-02    1.02e-02    1.3e-04
  10700      1.16e-01    1.15e-01      1.02e-03    3.38e-04      1.01e-02    1.01e-02    1.3e-04
  10800      1.17e-01    1.16e-01      8.21e-04    4.53e-04      1.03e-02    1.02e-02    1.3e-04
  10900      1.17e-01    1.15e-01      6.07e-04    4.40e-04      1.02e-02    1.01e-02    1.3e-04
  11000      1.14e-01    1.18e-01      5.71e-04    8.38e-04      9.99e-03    1.03e-02    1.3e-04
  11100      1.15e-01    1.15e-01      8.90e-04    5.34e-04      1.00e-02    1.01e-02    1.3e-04
  11200      1.13e-01    1.16e-01      4.63e-04    7.63e-04      9.93e-03    1.01e-02    1.3e-04
  11300      1.16e-01    1.15e-01      3.42e-04    5.62e-04      1.01e-02    1.01e-02    1.3e-04
  11400      1.14e-01    1.16e-01      3.97e-04    5.32e-04      1.00e-02    1.02e-02    1.3e-04
  11500      1.14e-01    1.15e-01      3.62e-04    7.38e-04      1.00e-02    1.00e-02    1.3e-04
  11600      1.16e-01    1.15e-01      3.96e-04    3.97e-04      1.02e-02    1.01e-02    1.3e-04
  11700      1.14e-01    1.15e-01      9.99e-04    1.16e-03      9.96e-03    1.00e-02    1.3e-04
  11800      1.11e-01    1.14e-01      5.64e-04    4.88e-04      9.76e-03    1.00e-02    1.3e-04
  11900      1.12e-01    1.13e-01      7.74e-04    4.98e-04      9.77e-03    9.89e-03    1.3e-04
  12000      1.14e-01    1.12e-01      5.17e-04    5.48e-04      1.00e-02    9.84e-03    1.3e-04
  12100      1.14e-01    1.12e-01      8.48e-04    5.57e-04      9.98e-03    9.83e-03    1.3e-04
  12200      1.16e-01    1.13e-01      1.04e-03    5.98e-04      1.01e-02    9.88e-03    1.3e-04
  12300      1.14e-01    1.14e-01      9.01e-04    9.05e-04      9.97e-03    9.93e-03    1.3e-04
  12400      1.12e-01    1.12e-01      5.82e-04    4.88e-04      9.80e-03    9.83e-03    1.3e-04
  12500      1.10e-01    1.10e-01      7.98e-04    5.07e-04      9.61e-03    9.66e-03    1.3e-04
  12600      1.16e-01    1.10e-01      1.28e-03    7.13e-04      1.01e-02    9.62e-03    1.3e-04
  12700      1.10e-01    1.14e-01      7.22e-04    5.63e-04      9.63e-03    1.00e-02    1.3e-04
  12800      1.13e-01    1.11e-01      7.30e-04    7.50e-04      9.90e-03    9.70e-03    1.3e-04
  12900      1.12e-01    1.11e-01      8.63e-04    7.71e-04      9.81e-03    9.67e-03    1.3e-04
  13000      1.09e-01    1.11e-01      8.40e-04    7.00e-04      9.51e-03    9.69e-03    1.3e-04
  13100      1.10e-01    1.09e-01      6.92e-04    9.47e-04      9.66e-03    9.54e-03    1.3e-04
  13200      1.13e-01    1.10e-01      7.98e-04    3.45e-04      9.86e-03    9.66e-03    1.3e-04
