# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.09e-01    3.10e-01      4.00e-04    2.54e-04      9.37e-03    9.33e-03      1.74e-01    1.89e-01    1.0e-04
    100      3.14e-01    2.97e-01      1.04e-03    1.14e-03      9.05e-03    8.86e-03      2.57e-01    1.98e-01    1.0e-04
    200      2.95e-01    2.93e-01      2.71e-03    3.02e-03      8.91e-03    8.74e-03      1.77e-01    1.94e-01    1.0e-04
    300      3.01e-01    2.91e-01      1.24e-03    1.17e-03      8.90e-03    8.80e-03      2.15e-01    1.68e-01    1.0e-04
    400      3.08e-01    2.99e-01      1.84e-03    2.14e-03      8.86e-03    8.84e-03      2.54e-01    2.10e-01    1.0e-04
    500      2.90e-01    2.83e-01      1.45e-03    1.44e-03      8.62e-03    8.34e-03      1.99e-01    2.03e-01    1.0e-04
    600      2.91e-01    2.87e-01      1.40e-03    1.32e-03      8.59e-03    8.58e-03      2.10e-01    1.84e-01    1.0e-04
    700      3.03e-01    2.99e-01      3.27e-03    2.72e-03      8.67e-03    8.91e-03      2.57e-01    2.01e-01    1.0e-04
    800      2.83e-01    2.79e-01      6.28e-04    6.07e-04      8.50e-03    8.44e-03      1.73e-01    1.58e-01    1.0e-04
    900      2.75e-01    2.88e-01      1.55e-03    1.21e-03      8.25e-03    8.37e-03      1.71e-01    2.28e-01    1.0e-04
   1000      2.87e-01    2.85e-01      9.05e-04    9.61e-04      8.44e-03    8.47e-03      2.13e-01    1.95e-01    1.0e-04
   1100      2.78e-01    2.76e-01      2.47e-03    2.28e-03      8.27e-03    8.29e-03      1.88e-01    1.70e-01    1.0e-04
   1200      2.73e-01    2.75e-01      2.27e-03    2.28e-03      8.11e-03    8.18e-03      1.87e-01    1.84e-01    1.0e-04
   1300      2.70e-01    2.75e-01      1.06e-03    1.03e-03      8.15e-03    8.29e-03      1.60e-01    1.65e-01    1.0e-04
   1400      2.72e-01    2.85e-01      8.62e-04    9.98e-04      8.07e-03    8.42e-03      1.90e-01    2.00e-01    1.0e-04
   1500      2.85e-01    2.72e-01      2.97e-03    3.10e-03      8.40e-03    8.14e-03      2.07e-01    1.72e-01    1.0e-04
   1600      2.79e-01    2.88e-01      1.48e-03    1.59e-03      8.33e-03    8.27e-03      1.84e-01    2.39e-01    1.0e-04
   1700      2.70e-01    2.75e-01      9.55e-04    1.21e-03      8.04e-03    8.28e-03      1.80e-01    1.70e-01    1.0e-04
   1800      2.77e-01    2.75e-01      2.34e-03    2.42e-03      8.16e-03    8.21e-03      2.02e-01    1.82e-01    1.0e-04
   1900      2.77e-01    2.83e-01      1.69e-03    1.87e-03      8.13e-03    8.30e-03      2.05e-01    2.12e-01    1.0e-04
   2000      3.18e-01    2.84e-01      9.87e-04    8.73e-04      8.47e-03    8.38e-03      2.04e-01    1.79e-01    1.6e-05
   2100      4.35e-01    2.84e-01      1.04e-03    5.51e-04      8.28e-03    8.23e-03      2.87e-01    1.80e-01    1.6e-05
   2200      3.94e-01    2.90e-01      7.71e-04    3.01e-04      8.34e-03    8.37e-03      2.58e-01    1.84e-01    1.6e-05
   2300      2.84e-01    2.95e-01      5.04e-04    4.38e-04      8.21e-03    7.97e-03      1.80e-01    1.88e-01    1.6e-05
   2400      3.22e-01    3.16e-01      3.91e-04    5.80e-04      8.17e-03    8.23e-03      2.08e-01    2.03e-01    1.6e-05
   2500      3.01e-01    2.93e-01      4.37e-04    3.95e-04      8.09e-03    8.29e-03      1.92e-01    1.86e-01    1.6e-05
   2600      2.45e-01    3.80e-01      7.45e-04    5.18e-04      8.08e-03    8.50e-03      1.52e-01    2.48e-01    1.6e-05
   2700      2.75e-01    3.09e-01      3.44e-04    4.24e-04      8.27e-03    8.29e-03      1.73e-01    1.97e-01    1.6e-05
   2800      2.98e-01    2.91e-01      4.62e-04    2.50e-04      8.20e-03    8.12e-03      1.90e-01    1.85e-01    1.6e-05
   2900      2.82e-01    2.80e-01      5.95e-04    7.17e-04      8.37e-03    8.24e-03      1.78e-01    1.76e-01    1.6e-05
   3000      2.93e-01    2.61e-01      5.12e-04    3.85e-04      8.06e-03    8.08e-03      1.87e-01    1.63e-01    1.6e-05
   3100      3.37e-01    2.95e-01      4.81e-04    4.88e-04      8.33e-03    8.48e-03      2.18e-01    1.87e-01    1.6e-05
   3200      3.26e-01    3.16e-01      5.61e-04    5.03e-04      8.07e-03    7.89e-03      2.11e-01    2.04e-01    1.6e-05
   3300      2.89e-01    3.84e-01      7.11e-04    7.65e-04      8.23e-03    8.39e-03      1.83e-01    2.51e-01    1.6e-05
   3400      2.81e-01    3.01e-01      7.78e-04    7.02e-04      8.20e-03    8.13e-03      1.77e-01    1.92e-01    1.6e-05
   3500      2.99e-01    2.86e-01      7.63e-04    6.43e-04      8.23e-03    8.09e-03      1.91e-01    1.81e-01    1.6e-05
   3600      3.02e-01    2.71e-01      4.74e-04    4.42e-04      7.97e-03    8.22e-03      1.94e-01    1.70e-01    1.6e-05
   3700      2.88e-01    2.69e-01      4.65e-04    4.33e-04      8.12e-03    8.36e-03      1.83e-01    1.68e-01    1.6e-05
   3800      3.35e-01    3.11e-01      1.09e-03    3.66e-04      8.14e-03    8.35e-03      2.16e-01    1.99e-01    1.6e-05
   3900      3.53e-01    2.89e-01      8.25e-04    6.00e-04      8.44e-03    8.11e-03      2.29e-01    1.84e-01    1.6e-05
   4000      2.85e-01    3.09e-01      5.48e-04    7.95e-04      8.15e-03    8.14e-03      1.79e-01    1.95e-01    2.5e-06
   4100      3.26e-01    2.84e-01      4.92e-04    2.74e-04      8.26e-03    8.24e-03      2.06e-01    1.79e-01    2.5e-06
   4200      2.49e-01    4.24e-01      4.06e-04    4.33e-04      8.13e-03    8.57e-03      1.56e-01    2.68e-01    2.5e-06
   4300      3.17e-01    2.53e-01      3.90e-04    4.83e-04      8.37e-03    8.50e-03      2.00e-01    1.59e-01    2.5e-06
   4400      4.50e-01    3.04e-01      4.03e-04    4.00e-04      8.83e-03    8.48e-03      2.85e-01    1.92e-01    2.5e-06
   4500      2.85e-01    2.72e-01      4.16e-04    2.28e-04      8.46e-03    8.45e-03      1.79e-01    1.71e-01    2.5e-06
   4600      3.00e-01    3.29e-01      3.57e-04    5.16e-04      8.45e-03    8.72e-03      1.89e-01    2.07e-01    2.5e-06
   4700      2.94e-01    3.22e-01      4.34e-04    3.89e-04      8.46e-03    8.45e-03      1.85e-01    2.03e-01    2.5e-06
   4800      3.18e-01    3.24e-01      4.32e-04    3.83e-04      8.59e-03    8.75e-03      2.01e-01    2.04e-01    2.5e-06
   4900      3.10e-01    2.92e-01      2.81e-04    4.23e-04      8.50e-03    8.39e-03      1.95e-01    1.84e-01    2.5e-06
   5000      3.23e-01    3.14e-01      5.24e-04    4.24e-04      8.97e-03    8.58e-03      2.04e-01    1.98e-01    2.5e-06
   5100      4.20e-01    3.22e-01      6.48e-04    3.89e-04      8.42e-03    8.69e-03      2.66e-01    2.03e-01    2.5e-06
   5200      3.08e-01    2.94e-01      3.52e-04    2.41e-04      8.51e-03    8.42e-03      1.94e-01    1.85e-01    2.5e-06
   5300      3.04e-01    2.85e-01      4.72e-04    4.35e-04      8.79e-03    8.53e-03      1.91e-01    1.79e-01    2.5e-06
   5400      3.01e-01    2.99e-01      4.38e-04    3.12e-04      8.61e-03    8.58e-03      1.90e-01    1.88e-01    2.5e-06
